,Country,Math score with mother's qualification: ISCED 1,Math score with mother's qualification: ISCED 2,"Math score with mother's qualification: ISCED 3B, C","Math score with mother's qualification: ISCED 5A, 6",Math score with mother's qualification: ISCED 5B,"Math score with mother's qualification: ISCED 3A, ISCED 4",Math score with mother's qualification: None,Math score with father's qualification: ISCED 1,Math score with father's qualification: ISCED 2,"Math score with father's qualification: ISCED 3B, C","Math score with father's qualification: ISCED 5A, 6",Math score with father's qualification: ISCED 5B,"Math score with father's qualification: ISCED 3A, ISCED 4",Math score with father's qualification: None
0,Brazil,361.60,372.78,375.46,425.39,395.65,394.52,347.87,366.60,380.54,371.92,425.39,396.22,399.81,350.97
1,Canada,467.94,472.94,0,530.73,510.29,499.61,465.30,469.90,478.51,0,534.21,512.29,504.74,466.16
2,Florida (USA),465.62,443.41,0,483.61,459.65,460.73,413.86,458.39,446.91,0,499.77,442.58,460.26,452.96
3,Italy,434.07,471.91,510.85,509.39,476.50,503.19,397.07,447.54,476.18,506.32,512.42,472.43,503.80,407.78
4,Czech Republic,391.93,461.28,484.50,579.25,497.64,519.86,435.99,449.45,482.85,493.26,579.93,481.03,518.46,502.61
5,Connecticut (USA),455.98,426.12,0,537.06,488.51,477.72,422.39,461.68,451.10,0,549.34,500.43,479.32,408.60
6,United States of America,448.92,439.08,0,510.49,481.05,472.73,448.70,443.30,443.50,0,518.91,482.93,475.08,439.67
7,China-Shanghai,554.45,593.29,614.32,644.73,644.64,616.70,524.95,546.51,581.17,610.18,648.59,642.85,612.42,527.47
8,Lithuania,407.06,442.66,446.26,503.85,487.46,457.53,408.28,404.11,463.47,468.44,504.88,494.66,469.77,355.51
9,Costa Rica,389.47,393.70,410.13,439.16,388.16,411.41,371.10,391.81,394.62,399.12,437.88,389.15,413.68,370.38
10,Luxembourg,443.24,463.34,491.95,532.93,508.14,499.34,438.99,444.38,470.33,488.13,532.74,507.86,493.59,435.46
11,France,413.47,456.47,479.50,537.01,526.05,509.59,422.42,438.70,476.12,489.66,537.49,526.36,508.21,432.86
12,Hong Kong-China,554.86,540.58,566.74,603.75,590.52,574.13,535.14,548.23,547.32,562.36,610.40,595.16,567.80,531.62
13,Slovak Republic,348.66,364.87,453.95,538.81,483.47,495.23,299.23,332.46,368.91,465.23,546.50,476.71,491.08,322.99
14,Netherlands,506.64,508.09,0,537.58,533.43,517.26,448.07,507.44,499.51,0,544.11,532.78,516.01,462.13
15,Ireland,445.28,478.79,431.16,526.78,511.10,497.47,399.10,463.84,479.09,438.52,531.88,520.77,501.75,438.30
16,Argentina,367.28,383.60,0,430.83,411.01,404.93,344.13,370.09,394.09,0,430.05,407.03,411.00,355.93
17,Norway,479.17,458.63,481.86,506.64,503.75,481.79,384.00,426.57,462.08,497.68,509.26,507.48,483.13,407.95
18,Thailand,412.47,424.53,454.06,514.24,0,441.86,415.16,410.56,423.72,450.61,510.31,0,438.72,410.93
19,Massachusetts (USA),443.15,439.73,0,542.28,494.26,483.93,474.50,434.69,458.75,0,548.36,490.15,491.14,425.15
20,Israel,368.46,395.48,439.42,516.82,465.41,451.99,378.74,393.89,403.42,442.35,517.87,478.46,457.31,396.79
21,Australia,455.65,471.48,461.45,536.31,488.30,489.21,419.89,456.10,473.35,459.34,545.00,505.03,488.55,412.53
22,Singapore,528.94,545.11,0,620.03,580.18,563.24,515.81,531.34,535.04,0,620.03,581.07,555.81,517.09
23,Iceland,0,466.31,480.01,512.26,484.13,491.15,0,0,471.31,493.66,510.67,488.34,497.84,0
24,Montenegro,349.04,369.11,402.39,428.58,418.27,404.88,359.30,332.01,362.72,401.02,424.64,419.85,399.52,351.35
25,Slovenia,424.67,444.55,476.72,521.29,507.21,482.74,398.95,466.41,451.31,481.08,521.81,502.87,483.66,405.26
26,Germany,366.33,504.05,526.91,557.62,529.32,538.30,422.08,391.92,503.51,508.43,564.88,523.26,528.64,452.21
27,Chile,391.01,390.51,0,505.25,465.14,437.63,378.24,378.56,394.47,0,504.41,458.12,437.03,379.09
28,Perm(Russian Federation),0,454.48,456.05,509.67,474.21,456.72,0,464.25,460.92,467.89,511.06,485.81,459.53,487.23
29,Belgium,473.54,493.84,491.42,545.25,544.24,513.91,430.79,470.36,510.51,490.67,552.24,539.31,516.19,453.81
30,Jordan,353.46,370.34,363.59,393.36,406.19,386.75,356.29,359.54,370.94,368.06,402.88,399.19,380.30,351.53
31,Kazakhstan,361.83,406.26,415.61,441.60,428.80,419.62,395.65,343.25,403.04,401.52,445.09,427.89,419.47,372.66
32,Spain,465.40,478.09,477.36,528.75,497.10,496.60,410.72,475.67,483.09,484.12,529.80,497.26,495.81,432.39
33,Portugal,457.03,473.29,494.94,543.78,476.97,510.10,450.69,461.95,481.77,501.29,545.38,503.44,517.80,455.45
34,Indonesia,369.50,367.88,400.56,405.83,398.20,381.67,354.80,366.44,364.80,393.73,403.50,395.45,380.79,355.24
35,Qatar,332.79,344.94,365.08,396.62,385.20,376.25,334.09,330.71,332.13,358.54,400.92,376.10,356.15,323.02
36,Denmark,418.63,451.14,482.14,512.82,508.48,485.49,414.05,427.39,457.62,492.67,516.32,507.42,485.70,413.03
37,Poland,0,459.99,489.48,574.36,0,520.01,412.27,0,465.21,498.02,581.52,0,525.05,448.85
38,Finland,460.65,467.74,492.60,528.06,513.65,495.50,413.51,496.04,493.21,501.50,529.92,512.34,501.73,429.24
39,Turkey,445.92,445.95,432.06,526.54,486.69,495.13,413.26,430.59,435.11,428.18,520.89,470.79,479.44,406.45
40,Macao-China,538.47,535.34,540.65,557.55,548.21,550.72,524.02,532.80,536.92,541.64,562.50,543.86,555.85,524.95
41,Liechtenstein,489.34,503.65,557.67,554.45,544.90,531.55,420.32,476.83,486.83,557.31,565.84,548.66,504.12,482.35
42,Korea,532.21,506.02,545.26,581.99,568.42,539.59,531.80,523.53,520.46,529.79,582.23,553.91,533.28,503.98
43,Croatia,413.07,433.04,454.02,514.89,448.21,476.67,396.01,401.40,429.17,454.12,508.64,450.46,479.07,428.22
44,Vietnam,496.54,508.00,564.50,563.64,0,538.12,474.89,489.22,506.15,550.41,556.03,0,533.79,475.35
