Country,None,ISCED 1,ISCED 2,"ISCED 3A,4","ISCED 3B,C","ISCED 5A,6",ISCED 5B
Brazil,350.97,366.6,380.54,399.81,371.92,425.39,396.22
Canada,466.16,469.9,478.51,504.74,0,534.21,512.29
Florida (USA),452.96,458.39,446.91,460.26,0,499.77,442.58
Italy,407.78,447.54,476.18,503.8,506.32,512.42,472.43
Czech Republic,502.61,449.45,482.85,518.46,493.26,579.93,481.03
Connecticut (USA),408.6,461.68,451.1,479.32,0,549.34,500.43
United States of America,439.67,443.3,443.5,475.08,0,518.91,482.93
China-Shanghai,527.47,546.51,581.17,612.42,610.18,648.59,642.85
Lithuania,355.51,404.11,463.47,469.77,468.44,504.88,494.66
Costa Rica,370.38,391.81,394.62,413.68,399.12,437.88,389.15
Luxembourg,435.46,444.38,470.33,493.59,488.13,532.74,507.86
France,432.86,438.7,476.12,508.21,489.66,537.49,526.36
Hong Kong-China,531.62,548.23,547.32,567.8,562.36,610.4,595.16
Slovak Republic,322.99,332.46,368.91,491.08,465.23,546.5,476.71
Netherlands,462.13,507.44,499.51,516.01,0,544.11,532.78
Ireland,438.3,463.84,479.09,501.75,438.52,531.88,520.77
Argentina,355.93,370.09,394.09,411,0,430.05,407.03
Norway,407.95,426.57,462.08,483.13,497.68,509.26,507.48
Thailand,410.93,410.56,423.72,438.72,450.61,510.31,0
Massachusetts (USA),425.15,434.69,458.75,491.14,0,548.36,490.15
Israel,396.79,393.89,403.42,457.31,442.35,517.87,478.46
Australia,412.53,456.1,473.35,488.55,459.34,545,505.03
Singapore,517.09,531.34,535.04,555.81,0,620.03,581.07
Iceland,0,0,471.31,497.84,493.66,510.67,488.34
Montenegro,351.35,332.01,362.72,399.52,401.02,424.64,419.85
Slovenia,405.26,466.41,451.31,483.66,481.08,521.81,502.87
Germany,452.21,391.92,503.51,528.64,508.43,564.88,523.26
Chile,379.09,378.56,394.47,437.03,0,504.41,458.12
Perm(Russian Federation),487.23,464.25,460.92,459.53,467.89,511.06,485.81
Belgium,453.81,470.36,510.51,516.19,490.67,552.24,539.31
Jordan,351.53,359.54,370.94,380.3,368.06,402.88,399.19
Kazakhstan,372.66,343.25,403.04,419.47,401.52,445.09,427.89
Spain,432.39,475.67,483.09,495.81,484.12,529.8,497.26
Portugal,455.45,461.95,481.77,517.8,501.29,545.38,503.44
Indonesia,355.24,366.44,364.8,380.79,393.73,403.5,395.45
Qatar,323.02,330.71,332.13,356.15,358.54,400.92,376.1
Denmark,413.03,427.39,457.62,485.7,492.67,516.32,507.42
Poland,448.85,0,465.21,525.05,498.02,581.52,0
Finland,429.24,496.04,493.21,501.73,501.5,529.92,512.34
Turkey,406.45,430.59,435.11,479.44,428.18,520.89,470.79
Macao-China,524.95,532.8,536.92,555.85,541.64,562.5,543.86
Liechtenstein,482.35,476.83,486.83,504.12,557.31,565.84,548.66
Korea,503.98,523.53,520.46,533.28,529.79,582.23,553.91
Croatia,428.22,401.4,429.17,479.07,454.12,508.64,450.46
Vietnam,475.35,489.22,506.15,533.79,550.41,556.03,0
Japan,0,0,487.14,516.03,531.82,568.42,541.82
Switzerland,434.52,476.24,491.63,508.05,532.42,551.71,528.55
New Zealand,435.69,462.01,480.32,505.12,498.33,552.44,513.53
Bulgaria,334.56,358.05,378.1,438.63,434.14,481.03,461.9
Romania,379.07,382,417.41,442.12,430.74,472.69,441.91
Albania,402.79,409.31,388.28,392.48,400.13,396.17,405.96
Chinese Taipei,454.38,502.22,514.03,538.02,561.05,635.09,570.25
Estonia,462.85,475,501.37,517.6,526.52,546.99,519.7
Mexico,390.48,398.33,415.87,431.78,434.61,447.09,427.11
Russian Federation,338.59,425,435.49,466.93,473.43,511.25,473.75
United Arab Emirates,378.95,386.01,396.7,406.01,409.6,460.86,421.72
Uruguay,356.03,384.48,409.67,442.44,425.17,474.76,420.35
Serbia,350.3,351.77,415.13,471.85,445.76,488.03,437.54
Sweden,401.2,448.37,462.91,485.06,487.24,501.85,482.82
Peru,314.58,326.88,349.6,373.17,0,402.02,400.9
United Kingdom,422.04,454.85,468.26,495.01,492.84,527.66,487.22
Malaysia,391.39,411.74,406.32,421.55,405.05,455.34,434.02
Austria,423.28,411,470.1,528.56,496.94,553.44,503.58
Latvia,443.77,498.83,475.48,485.23,500.21,520.94,512.32
Tunisia,366.59,368.56,373.29,389.54,363.94,422.91,417.74
Colombia,354.7,369.22,372,394.1,0,419.77,396.35
Greece,367.63,411.33,426.67,452.22,445.73,491.4,448.85
Hungary,387.48,378.98,421.12,495.01,473.72,521.35,497.05
