Country,None,ISCED 1,ISCED 2,"ISCED 3A,4","ISCED 3B,C","ISCED 5A,6",ISCED 5B
Brazil,349.4238705,364.0965957,376.6615076,397.1654133,373.6889534,425.3899906,395.9329758
Canada,465.7284071,468.9202075,475.7229506,502.173526,0,532.4700065,511.2902245
Florida (USA),433.4081253,462.0008064,445.1573026,460.49233,0,491.6919667,451.1166632
Italy,402.4272398,440.8035164,474.0469796,503.491021,508.582414,510.9055415,474.4683398
Czech Republic,469.2997975,420.6900929,472.0621074,519.1613245,488.8782131,579.5889025,489.335677
Connecticut (USA),415.4930659,458.8307779,438.6120018,478.5207584,0,543.2036205,494.4712204
United States of America,444.1861448,446.1087087,441.290004,473.9080895,0,514.7002485,481.9882436
China-Shanghai,526.206625,550.480263,587.22938,614.558589,612.250346,646.662322,643.747426
Lithuania,381.8958179,405.586495,453.062164,463.6500965,457.349262,504.366985,491.0583608
Costa Rica,370.7422886,390.6395705,394.1622832,412.5436904,404.6254241,438.5187268,388.6525493
Luxembourg,437.2239932,443.8100742,466.8363521,496.4665672,490.0417883,532.830173,507.9993825
France,427.6377263,426.0820016,466.2935606,508.901549,484.5811363,537.2460475,526.2090425
Hong Kong-China,533.378618,551.5470825,543.949877,570.962453,564.552193,607.073714,592.840492
Slovak Republic,311.1102434,340.559278,366.8921928,493.1530739,459.5924006,542.6561835,480.0907189
Netherlands,455.0991395,507.0407195,503.8021545,516.6375825,0,540.8411295,533.1072645
Ireland,418.6997693,454.5608365,478.9380043,499.6122883,434.8411635,529.3272575,515.934597
Argentina,350.0311683,368.683112,388.8458784,407.9665332,0,430.4374735,409.0199877
Norway,395.978486,452.8688264,460.3524595,482.4637196,489.7704344,507.9542825,505.61513
Thailand,413.0448723,411.5157787,424.1247477,440.2920553,452.3394092,512.279172,0
Massachusetts (USA),449.8236729,438.9241039,449.2421429,487.535456,0,545.3170465,492.2070299
Israel,387.7648023,381.1741347,399.4492965,454.6487231,440.8845805,517.343395,471.9368274
Australia,416.2053882,455.874809,472.4191995,488.8803806,460.3955085,540.655731,496.6635045
Singapore,516.452009,530.141619,540.071214,559.5277715,0,620.030007,580.6251685
Iceland,0,0,468.8068476,494.4967983,486.8346501,511.4689835,486.2330213
Montenegro,355.3229232,340.5247295,365.9149863,402.1958446,401.7041259,426.6129165,419.0579753
Slovenia,402.1029902,445.5405839,447.931906,483.2010415,478.8966317,521.545583,505.042697
Germany,437.1455236,379.125172,503.7768155,533.470359,517.666834,561.2508425,526.291753
Chile,378.6674667,384.7825655,392.4887891,437.3329637,0,504.831468,461.6314919
Perm(Russian Federation),243.616605,232.12728,457.6969505,458.1253612,461.9706763,510.3623155,480.013341
Belgium,442.3011843,471.9508818,502.174441,515.0529575,491.048955,548.7476185,541.7728105
Jordan,353.9135133,356.5026615,370.6404814,383.5241114,365.8245807,398.1244312,402.6908432
Kazakhstan,384.1570176,352.5424761,404.6496856,419.5452006,408.5628168,443.3416582,428.3446791
Spain,421.5553732,470.5335301,480.5900984,496.2053831,480.7402223,529.277295,497.1788657
Portugal,453.0735557,459.4883867,477.5332245,513.945504,498.1145092,544.580235,490.2057007
Indonesia,355.017728,367.9719889,366.3401316,381.2303405,397.1440906,404.6655348,396.8261717
Qatar,328.5570826,331.7517047,338.5350732,366.2004605,361.809717,398.7723673,380.6529136
Denmark,413.5370432,423.0109412,454.3821367,485.5941964,487.4034543,514.5737745,507.949259
Poland,430.561621,0,462.6011069,522.5328965,493.7456702,577.9384985,0
Finland,421.3750132,478.3442181,480.4749429,498.6180085,497.0489247,528.990943,512.998801
Turkey,409.8560698,438.2504637,440.5337313,487.2883276,430.1237627,523.7133545,478.7384614
Macao-China,524.4864585,535.634002,536.1271015,553.285335,541.1444885,560.028577,546.0353405
Liechtenstein,451.3371634,483.0814687,495.2400161,517.8333665,557.4891055,560.1453465,546.776636
Korea,517.891277,527.871094,513.238422,536.433151,537.52593,582.107663,561.165833
Croatia,412.1131868,407.2376598,431.1094066,477.8702518,454.0738086,511.762257,449.3327954
Vietnam,475.121567,492.8773193,507.0727415,535.9519395,557.4561305,559.837125,0
Japan,0,0,487.2622177,515.874293,532.009098,566.9976865,549.124852
Switzerland,431.7006098,470.4613784,490.6686852,515.3099565,536.4561365,550.804758,526.798792
New Zealand,439.5825307,456.4179428,477.8106816,502.439931,498.6600051,546.76567,514.5163785
Bulgaria,331.5236421,361.5803031,374.9924206,437.738354,430.6568719,481.5986025,458.4206822
Romania,389.2621903,384.5895484,422.7369769,440.7366041,428.5875399,474.1324572,443.1482068
Albania,403.3499095,400.4947499,389.7896173,393.6155518,400.0596086,396.8723956,393.7206814
Chinese Taipei,469.3847178,498.5056749,516.245131,539.38729,561.3359885,631.698756,572.3105135
Estonia,467.623463,504.3420245,497.2883054,515.8584005,519.23927,545.0506115,520.7557065
Mexico,388.5717043,398.7839164,417.2220991,432.6238882,438.3346663,445.8293112,430.538007
Russian Federation,440.6787167,410.31313,429.1120359,460.9711038,469.4875334,510.4847285,471.9375322
United Arab Emirates,381.0805673,390.2071311,397.6500393,413.9826808,410.1890478,461.6504238,429.8220227
Uruguay,348.4260631,382.3857389,403.307834,438.8629913,421.6008227,472.4884067,431.8781786
Serbia,352.4805629,361.3957711,412.7411153,466.6528536,445.5173145,488.188007,438.9299797
Sweden,396.102139,443.1729244,457.4689478,487.5501897,477.5667448,498.7723154,484.2862523
Peru,319.1697754,334.8297954,349.5735133,378.8304474,0,404.490691,410.328949
United Kingdom,418.9986783,456.6027426,464.7180554,494.7857528,488.8417576,525.021637,488.0802559
Malaysia,390.4430508,409.5994783,407.3843783,422.6661942,398.4855693,453.286675,436.2254941
Austria,414.9050891,418.0283452,467.4172699,526.371986,498.6918316,551.815375,507.8038495
Latvia,426.346274,450.5337,463.7062884,482.6105105,496.5503164,519.9702485,510.3851265
Tunisia,368.8590032,371.20095,377.26049,393.5738018,359.2116088,427.88924,420.0541798
Colombia,350.3043023,366.8639375,370.7277043,396.1141877,0,422.4079721,396.5418426
Greece,378.7154812,407.3026685,424.3166054,451.1701268,438.3605803,489.8467485,451.5876596
Hungary,361.2053618,376.7696721,420.7369457,491.982364,470.6891029,522.5243635,499.1308178
